vnt_vel_mean,vis_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,chuva_mode,trovoada_mode,week,year,Aeroporto_,Aeroporto,avistamento,colisao,quase_colisao,Ob_Mean,Ab_Sum,ObxAbxS_Mean,Voos_como_Destino,Voos_como_Origem,Total_Voos
3.7681159420289854,8982.73381294964,21.820143884892087,19.74820143884892,1012.1079136690647,89.44604316546763,0,1,1,1,2020,SBGR,SBGR,0.0,3.0,0.0,0.2395631478853881,8.541993942476955,24.64038252833997,2900.0,2938.0,5838.0
4.99468085106383,9204.515957446809,24.48936170212766,21.47872340425532,1014.2925531914893,85.16489361702128,0,1,1,2,2020,SBGR,SBGR,0.0,6.0,0.0,0.23331631176693116,8.318293711925351,24.43370728734809,2935.0,2943.0,5878.0
5.147540983606557,9277.88524590164,21.934426229508198,19.896174863387976,1018.4808743169399,89.16939890710383,120,1,1,3,2020,SBGR,SBGR,1.0,7.0,0.0,0.2298131006301131,8.34551771875057,25.326891052130858,2946.0,2949.0,5895.0
4.477011494252873,9110.137931034482,20.528735632183906,17.477011494252874,1012.264367816092,84.73563218390805,0,1,,4,2020,SBGR,SBGR,1.0,3.0,0.0,0.2261719872205151,8.411810571218238,25.912286379843138,2944.0,2916.0,5860.0
5.273743016759776,9174.205555555556,23.694444444444443,19.36111111111111,1016.2111111111111,79.42777777777778,0,1,1,5,2020,SBGR,SBGR,,0.0,,0.2220533282713141,8.56257402720356,26.393052448832893,2899.0,2913.0,5812.0
4.973821989528796,8910.319371727748,22.701570680628272,20.623036649214658,1016.3821989528795,89.52356020942409,70,1,1,6,2020,SBGR,SBGR,0.0,3.0,0.0,0.22188186175788474,8.852678399898258,27.794399050034386,2815.0,2808.0,5623.0
4.513089005235602,8064.837696335078,20.900523560209425,18.93717277486911,1017.303664921466,89.8586387434555,160,1,1,7,2020,SBGR,SBGR,0.0,1.0,0.0,0.22176747994542056,8.909796613591169,28.647444122636163,2854.0,2856.0,5710.0
4.139175257731959,8920.91237113402,22.25257731958763,20.31958762886598,1016.1494845360825,90.15463917525773,0,1,1,8,2020,SBGR,SBGR,2.0,2.0,0.0,0.2217507982760473,8.769939912422226,29.08797982900761,2564.0,2562.0,5126.0
6.005952380952381,7982.119047619048,20.357142857142858,18.86904761904762,1016.6607142857143,91.76190476190476,120,1,1,9,2020,SBGR,SBGR,1.0,8.0,0.0,0.22225147510892942,8.864747995790703,28.943512287397223,2794.0,2793.0,5587.0
4.217877094972067,9510.324022346369,19.502793296089386,16.949720670391063,1018.0279329608938,86.40223463687151,0,1,1,10,2020,SBGR,SBGR,0.0,5.0,0.0,0.22003203314122355,8.983414957348526,29.86393059587341,2811.0,2799.0,5610.0
4.743016759776537,9641.614525139665,22.608938547486034,18.77094972067039,1018.6927374301677,80.95530726256983,70,,1,11,2020,SBGR,SBGR,1.0,11.0,0.0,0.2177457254793909,8.992353150730624,30.114955530874848,2793.0,2795.0,5588.0
4.757062146892656,9007.767045454546,22.627118644067796,19.47457627118644,1015.7683615819209,84.01694915254237,160,1,1,12,2020,SBGR,SBGR,0.0,12.0,0.0,0.2151706377972599,8.92397355667492,30.614072112598794,1730.0,1705.0,3435.0
5.56,9859.04,20.097142857142856,16.154285714285713,1019.6971428571428,80.25714285714285,60,1,1,13,2020,SBGR,SBGR,1.0,2.0,0.0,0.21802101779753477,8.897544309521228,30.23720685092227,558.0,571.0,1129.0
5.171428571428572,9587.742857142857,21.725714285714286,17.92,1016.3657142857143,81.12,70,1,,14,2020,SBGR,SBGR,0.0,2.0,0.0,0.2237288791418465,9.195854204238143,30.981309826769074,361.0,358.0,719.0
4.7740112994350286,9533.25,18.853107344632768,14.55367231638418,1018.3050847457627,78.18079096045197,160,1,,15,2020,SBGR,SBGR,0.0,2.0,0.0,0.22909708764639425,9.388462032903643,31.14620658060926,288.0,308.0,596.0
5.203488372093023,9836.290697674418,18.726744186046513,14.604651162790697,1020.1686046511628,78.5813953488372,150,1,,16,2020,SBGR,SBGR,0.0,3.0,0.0,0.23401997260716878,9.637142770138441,33.67021763042441,315.0,321.0,636.0
4.681818181818182,9390.704545454546,19.102272727272727,14.431818181818182,1021.0170454545455,77.19886363636364,70,,,17,2020,SBGR,SBGR,0.0,3.0,0.0,0.23584618519642642,9.594027849510798,34.02827693342043,303.0,289.0,592.0
4.542857142857143,8664.982857142857,18.885714285714286,13.874285714285714,1021.6685714285715,75.95428571428572,0,1,,18,2020,SBGR,SBGR,0.0,4.0,0.0,0.23893861839251515,9.471318252956848,34.189848855522,314.0,284.0,598.0
5.3428571428571425,9503.131428571429,16.782857142857143,11.805714285714286,1020.6857142857143,75.70857142857143,70,1,,19,2020,SBGR,SBGR,0.0,1.0,0.0,0.23951022475876713,9.395100869567079,34.29879832199058,395.0,381.0,776.0
3.903409090909091,9041.8125,17.13714285714286,12.314285714285715,1019.7954545454545,76.26704545454545,0,,,20,2020,SBGR,SBGR,2.0,1.0,0.0,0.22924523857627108,9.13429440996226,32.148373183118174,385.0,386.0,771.0
6.7,8705.922222222222,17.67222222222222,13.333333333333334,1021.4111111111112,78.19444444444444,70,1,,21,2020,SBGR,SBGR,0.0,4.0,0.0,0.22477317019517906,9.023175027318834,30.711381913371785,409.0,408.0,817.0
5.959770114942529,9100.3908045977,14.327586206896552,7.511494252873563,1019.4942528735633,68.02873563218391,300,,,22,2020,SBGR,SBGR,1.0,0.0,0.0,0.22271940868737458,8.919288833351697,29.346723692678584,387.0,384.0,771.0
