Aeroporto_,week_,Ob_mean,Ab_mean,ObxAbxS_mean,Total_Voos,contagem_avistamento,contagem_colisão,lag_colisao
SBAA,1,0.1764842470959602,0.4514351625730217,12.45175316490808,0,0,0,0.0
SBAA,2,0.19340278078923304,0.5139161105790836,14.836524295283988,0,0,0,0.0
SBAA,3,0.19699273434614786,0.5254205702712723,15.627540605789498,0,0,0,0.0
SBAA,4,0.20636533027151738,0.5233210203309799,15.583609137292513,0,0,0,0.0
SBAA,5,0.20992818100092184,0.5219888486689964,15.48122409786575,0,0,0,0.0
SBAA,6,0.2017031220038182,0.5109475231724078,15.082728089868755,0,0,0,0.0
SBAA,7,0.2018187219371553,0.5144232275757202,15.192770619376727,0,0,0,0.0
SBAA,8,0.20294630427059582,0.5108646417451286,15.529981491576523,0,0,0,0.0
SBAA,9,0.2003197811561129,0.4965102651565753,15.529386460162248,0,0,0,0.0
SBAA,10,0.19795346047703474,0.4615035446783935,14.538401708737446,0,0,0,0.0
SBAA,11,0.19498911290037457,0.44668894140168,13.280526193905807,0,0,0,0.0
SBAA,12,0.18792088237196858,0.430484878550248,12.10650928818116,0,0,0,0.0
SBAA,13,0.20770236286889854,0.44871157968204556,11.20205850950445,0,0,0,0.0
SBAA,14,0.20048923106840466,0.4797365814103664,12.433690872202947,0,0,0,0.0
SBAA,15,0.20983763844109957,0.5583844674813468,13.080707440694493,0,0,0,0.0
SBAA,16,0.21029322878419998,0.5732489281034283,13.147175694788984,0,0,0,0.0
SBAA,17,0.21571485006015198,0.5961491112654218,13.538159877258465,0,0,0,0.0
SBAA,18,0.22562922827143228,0.6299138839089121,14.270343031274841,0,0,0,0.0
SBAA,19,0.23873037466136982,0.6881504565210973,16.035326337230487,0,0,0,0.0
SBAA,20,0.23900466922116323,0.6987636202619746,15.251310037918653,0,0,0,0.0
SBAA,21,0.23458556947969714,0.6910358691435515,14.280040831826897,0,0,0,0.0
SBAA,22,0.22650253171833812,0.676530572047592,13.933228296351865,0,0,0,0.0
SBAA,23,0.2165250533764066,0.6599984666326214,12.483022442768197,0,0,0,0.0
SBAA,24,0.2183388095738621,0.6700075559314146,13.701394665994348,0,0,0,0.0
SBAA,25,0.2074164958260396,0.6364217468869315,13.467503266353473,0,0,0,0.0
SBAA,26,0.20538399721718156,0.6188028781806925,12.121095230659328,0,0,0,0.0
SBAA,27,0.22478336629327791,0.6220948245060534,13.75114464751118,0,0,0,0.0
SBAA,28,0.2180809104415936,0.6397354880843394,13.956357990678976,0,0,0,0.0
SBAA,29,0.2211630798558326,0.6482486454974067,14.580707193461022,0,0,0,0.0
SBAA,30,0.2252299104942892,0.6652211083256078,14.93244044959378,0,0,0,0.0
SBAA,31,0.2191222200864086,0.6333832032677756,12.202932727238142,0,0,0,0.0
SBAA,32,0.22180640897923073,0.5907353747146252,10.623671002559028,0,0,0,0.0
SBAA,33,0.2304270471797476,0.6001961278581981,10.349487757917226,0,0,0,0.0
SBAA,34,0.23065036499599958,0.6006515672797766,10.77143085501678,0,0,0,0.0
SBAA,35,0.23617454620793618,0.635876986235724,11.761099304186628,0,0,0,0.0
SBAA,36,0.2441811378757366,0.7115663039522743,15.262771772814215,0,0,0,0.0
SBAA,37,0.24584107275412037,0.762060951209501,17.475933496151406,0,0,0,0.0
SBAA,38,0.2505415576749675,0.7641207821271886,17.901983079532467,0,0,0,0.0
SBAA,39,0.24644310867807043,0.7819708372362069,19.95936826303895,0,0,0,0.0
SBAA,40,0.25150797222209226,0.8332516180680077,21.232874398008207,0,0,0,0.0
SBAA,41,0.2531262661481862,0.7952890633320763,21.022840577097323,0,0,0,0.0
SBAA,42,0.24957316867242355,0.7591932856380051,19.600631285014636,0,0,0,0.0
SBAA,43,0.2576360002443657,0.7682746805663138,19.13472409455397,0,0,0,0.0
SBAA,44,0.25097187098884804,0.7299522469217671,18.447918381227733,0,0,0,0.0
SBAA,45,0.2404650993615114,0.69566667722291,17.336474176550585,0,0,0,0.0
SBAA,46,0.23139129138004888,0.6438477978393901,16.79268553473985,0,0,0,0.0
SBAA,47,0.22256375654603788,0.604580420502295,15.532992272919444,0,0,0,0.0
SBAA,48,0.20392709315003613,0.5214239509739705,11.466722804835264,0,0,0,0.0
SBAA,49,0.19967871847011429,0.4732371707637008,8.926930919790777,0,0,0,0.0
SBAA,50,0.18287611320924171,0.3796446594176545,7.642338315155879,0,0,0,0.0
SBAA,51,0.1777622810787293,0.38141103008935984,8.20453092539936,0,0,0,0.0
SBAA,52,0.18067347089760652,0.4183202016562826,10.32232155194247,0,0,0,0.0
SBAC,1,0.258656635600413,0.729363551368632,21.648798411736724,6,0,0,0.0
SBAC,2,0.27010878898361906,0.7939419679132335,26.05079168914351,6,0,0,0.0
SBAC,3,0.27741326750070133,0.8826268468380319,29.78326535928435,6,0,0,0.0
SBAC,4,0.2745669143646848,0.9111641060047805,29.166848962390688,6,0,0,0.0
SBAC,5,0.2802596780588675,0.9763389809034798,32.64015288389962,6,0,0,0.0
SBAC,6,0.2754556060577117,0.9175899474465461,32.40066880728963,6,0,0,0.0
SBAC,7,0.2771271501965901,0.8341704561648212,28.842542698900328,7,0,0,0.0
SBAC,8,0.28544721957956637,0.7825157482044914,25.898433615248738,8,0,0,0.0
SBAC,9,0.2890233716379244,0.7676943003761423,23.643045827332674,10,0,0,0.0
SBAC,10,0.2860709738805361,0.7466978231431751,20.910519688269964,10,0,0,0.0
SBAC,11,0.2835189233434962,0.7558201090980926,20.07254006926517,10,0,0,0.0
SBAC,12,0.2842881274746454,0.7681413486916973,17.465453704495562,6,0,0,0.0
SBAC,13,0.28922070913175313,0.7776493440705835,16.121486868219964,0,0,0,0.0
SBAC,14,0.2847340141469283,0.7853761394977147,14.611728423780294,0,0,0,0.0
SBAC,15,0.290518396815404,0.8193767503960764,14.57873881413817,0,0,0,0.0
SBAC,16,0.29447208653791984,0.8610876276560709,17.42190482830138,0,0,0,0.0
SBAC,17,0.2937735270523855,0.8764253933009106,18.82469908268631,0,0,0,0.0
SBAC,18,0.32467654422378456,0.9431699845936109,21.65806646007775,0,0,0,0.0
SBAC,19,0.3290784550878482,0.968318801205982,23.340454271579173,0,0,0,0.0
SBAC,20,0.31443544188712497,0.9424614317768003,21.707185718278122,0,0,0,0.0
SBAC,21,0.3056642032763424,0.8715407862202492,18.770838467051195,0,0,0,0.0
SBAC,22,0.30448824722874673,0.887337224764076,17.65889537163738,0,0,0,0.0
SBAC,23,0.2962494755044897,0.873310172489138,16.532622158861287,0,0,0,0.0
SBAC,24,0.2937335400165612,0.8918722389265895,16.427601102231463,0,0,0,0.0
SBAC,25,0.2892228203092485,0.8547615863858379,15.757880888859331,0,0,0,0.0
SBAC,26,0.2884572486611123,0.8426717089211687,15.426976716960683,0,0,0,0.0
SBAC,27,0.28771725285349165,0.8548318827881456,16.423052454655195,0,0,0,0.0
SBAC,28,0.2877767470077421,0.8680303622882625,17.534588596199423,0,0,0,0.0
SBAC,29,0.28895537184802356,0.9154942455602454,19.25642523265989,0,0,0,0.0
SBAC,30,0.2797776526910195,0.8633643970051978,18.666371262757256,0,0,0,0.0
SBAC,31,0.2717749652023435,0.8729902353137735,17.113904192826272,0,0,0,0.0
SBAC,32,0.26969825331359476,0.8936722866239707,16.844162876910765,0,0,0,0.0
SBAC,33,0.2622755932099853,0.6864721449369449,17.783058334216534,0,0,0,0.0
SBAC,34,0.26350504354382237,0.7039064017012185,18.773939953686817,0,0,0,0.0
SBAC,35,0.2590820248747336,0.7479502595723311,20.476346794653487,0,0,0,0.0
SBAC,36,0.2556452990555806,0.8031278080472076,24.576114465119648,0,0,0,0.0
SBAC,37,0.25048251423641305,0.8469010360169067,25.578883533587735,0,0,0,0.0
SBAC,38,0.2800791986153064,1.11196474673448,29.12827566448151,0,0,0,0.0
SBAC,39,0.2824449285213125,1.0210904663057516,29.946820190911907,0,0,0,0.0
SBAC,40,0.29447921614909006,1.080217445060505,32.12421333494921,0,0,0,0.0
SBAC,41,0.2984510439615407,1.038179901017805,31.282131894067458,0,0,0,0.0
SBAC,42,0.3009690311149503,1.0235592327176968,31.332179435536663,0,0,0,0.0
SBAC,43,0.2985301843824539,1.0004444474975271,31.666479298030392,0,0,0,0.0
SBAC,44,0.2874725082241896,0.8497860803301881,24.80694389888051,0,0,0,0.0
SBAC,45,0.27201068591564254,0.7512548444435946,19.65459192556833,0,0,0,0.0
SBAC,46,0.2659114108440724,0.7051009243050369,17.814023680348804,0,0,0,0.0
SBAC,47,0.2635213639190856,0.6906132507250238,16.75885379362036,0,0,0,0.0
SBAC,48,0.2524192495401335,0.6071199174364722,13.368838756062997,0,0,0,0.0
SBAC,49,0.2510253214296699,0.6016148643055838,12.671253957823746,0,0,0,0.0
SBAC,50,0.25177399576999354,0.6032931708923749,12.638230106710067,0,0,0,0.0
SBAC,51,0.24154327659680042,0.5814143903849668,12.568421897115757,4,0,0,0.0
SBAC,52,0.2506929922503,0.6396449405617147,16.27124864442134,4,0,0,0.0
SBAE,1,0.340677384780172,0.8525372206858383,24.784994044587265,74,0,0,0.0
SBAE,2,0.3371266904175443,0.8369030488760482,24.51485304168094,81,0,1,0.0
SBAE,3,0.33599295699867476,0.844610976256138,25.035303807875177,70,0,0,1.0
SBAE,4,0.3353044446943276,0.8506914213744107,24.943397069240373,63,0,0,0.0
SBAE,5,0.3356874800674731,0.8781069431246983,25.566829729015865,63,0,0,0.0
SBAE,6,0.3366391707662178,0.9195842974147642,27.958456314936463,57,0,1,0.0
SBAE,7,0.3284302698285977,0.894827143769013,27.407474630861792,60,0,0,1.0
SBAE,8,0.3144902296096477,0.8761642325602566,27.26480076443961,48,0,0,0.0
SBAE,9,0.305407550920426,0.8805505680021768,26.61904229696396,52,0,0,0.0
SBAE,10,0.29087212382489097,0.8457357582995311,25.421922859234154,57,0,0,0.0
SBAE,11,0.27946112838762444,0.8163708851871553,24.42983615806351,43,0,0,0.0
SBAE,12,0.26411345349482723,0.7553728362885231,23.5873623488817,24,0,0,0.0
SBAE,13,0.2589392672315206,0.7300248422735011,22.90211367216079,0,0,0,0.0
SBAE,14,0.2618592670085903,0.7544816660467518,24.152535915649345,0,0,0,0.0
SBAE,15,0.27171229686961373,0.7971419554004902,26.693619833837314,0,0,0,0.0
SBAE,16,0.284385107155313,0.8580469391988443,29.989953534927494,0,0,0,0.0
SBAE,17,0.2942254245484121,0.8879663118025315,31.082801373288067,0,0,0,0.0
SBAE,18,0.3072468968846861,0.9039972721272368,31.034835028333916,0,0,0,0.0
SBAE,19,0.31882498790317254,0.9249640722537906,30.317164082235344,8,0,0,0.0
SBAE,20,0.31363952049705524,0.8957024119603644,28.11868361249151,14,0,0,0.0
SBAE,21,0.31410418384483246,0.9045182959519501,27.609580043444087,17,0,0,0.0
SBAE,22,0.3128264983486962,0.9089066244302672,27.64398426922598,20,0,0,0.0
SBAE,23,0.31245595239070384,0.9485976674902402,28.219228486516432,18,0,0,0.0
SBAE,24,0.3126256339016628,0.9700723066236137,30.652029541214315,20,0,0,0.0
SBAE,25,0.30883481469987395,0.9893467591422128,31.90963091586481,20,0,0,0.0
SBAE,26,0.29944041713642067,1.028475121912507,32.80529618226595,23,0,0,0.0
SBAE,27,0.2992807897720851,1.1065446272967199,34.609793517080135,16,0,0,0.0
SBAE,28,0.30825776267139343,1.1721431150086923,36.97347761484911,10,0,0,0.0
SBAE,29,0.31286335861704,1.178235656027895,38.716395386830044,11,0,0,0.0
SBAE,30,0.3192295196886155,1.1624959452779797,39.31581395863076,11,0,0,0.0
SBAE,31,0.3147114270624414,1.0713046400773303,37.074967091287846,11,0,0,0.0
SBAE,32,0.3107440452373431,0.9657479012648785,32.63574879114502,11,0,0,0.0
SBAE,33,0.31108645825750303,0.9136185822217099,30.50922006736945,11,0,0,0.0
SBAE,34,0.31737915519422044,0.9000996215500282,29.800852674367626,11,0,0,0.0
SBAE,35,0.3301801212468795,0.9111881949177955,30.27361173741984,11,0,0,0.0
SBAE,36,0.33909294683453767,0.9232956922820045,31.597623976938575,10,0,0,0.0
SBAE,37,0.3435546012477612,0.9578816940782748,31.646587481029954,11,0,0,0.0
SBAE,38,0.3498536320078574,1.0136140554692912,33.447836827696975,11,0,0,0.0
SBAE,39,0.3544476553412204,1.0897795145424225,34.60476562288371,10,0,0,0.0
SBAE,40,0.36481212166773075,1.156697773118961,34.777225318894885,11,0,0,0.0
SBAE,41,0.377132602654852,1.1435882943623525,35.67276945903604,10,0,0,0.0
SBAE,42,0.3957662869890044,1.157620455564481,36.611354368720974,11,0,0,0.0
SBAE,43,0.4155882959596991,1.1785924631436728,37.932265005592804,10,0,0,0.0
SBAE,44,0.4281636921218183,1.2004625774922015,39.016334963585344,12,0,0,0.0
SBAE,45,0.4301584959091021,1.2050021335082883,37.85766352866808,13,0,0,0.0
SBAE,46,0.4244651647917684,1.1645148427170862,35.746142214489254,16,0,0,0.0
SBAE,47,0.41395744489209646,1.0918299019070898,32.802810288679424,13,0,0,0.0
SBAE,48,0.38928258175553854,0.9977885792407258,30.151235919176006,18,0,0,0.0
SBAE,49,0.36933952338449777,0.9258982573751524,27.522269456956973,10,0,0,0.0
SBAE,50,0.3571423010916848,0.880890613723107,25.188247358173793,12,0,0,0.0
SBAE,51,0.34099461726462854,0.8446576827274708,23.531840429710243,14,0,0,0.0
SBAE,52,0.34299068314009107,0.8595332183422676,24.26024197134384,13,0,0,0.0
SBAF,1,0.23944376515845456,0.9897710138782866,31.5833813631575,0,0,0,0.0
